名前,緯度,経度,説明
IMG_2330.JPG,40.32031666666667,141.32582222222223,"撮影日時：2026:07:14 10:05:34
撮影順：28"
IMG_2331.JPG,40.32035833333334,141.32588333333334,"撮影日時：2026:07:14 10:05:45
撮影順：29"
IMG_2332.JPG,40.320350000000005,141.32588333333334,"撮影日時：2026:07:14 10:05:48
撮影順：30"
IMG_2333.JPG,40.32030555555556,141.32592777777776,"撮影日時：2026:07:14 10:05:55
撮影順：31"
IMG_2334.JPG,40.32003055555556,141.32594166666667,"撮影日時：2026:07:14 10:06:51
撮影順：32"
IMG_2335.JPG,40.320033333333335,141.32594166666667,"撮影日時：2026:07:14 10:06:52
撮影順：33"
IMG_2337.JPG,40.31676388888889,141.3262638888889,"撮影日時：2026:07:14 10:13:09
撮影順：35"
IMG_2338.JPG,40.31676111111111,141.32623333333333,"撮影日時：2026:07:14 10:13:12
撮影順：36"
IMG_2339.JPG,40.31605555555555,141.32426388888888,"撮影日時：2026:07:14 10:14:53
撮影順：37"
IMG_2340.JPG,40.31601666666666,141.32426388888888,"撮影日時：2026:07:14 10:14:59
撮影順：38"
IMG_2341.JPG,40.31529166666667,141.32423333333332,"撮影日時：2026:07:14 10:16:11
撮影順：39"
IMG_2342.JPG,40.31505833333333,141.3241111111111,"撮影日時：2026:07:14 10:16:50
撮影順：40"
IMG_2343.JPG,40.314930555555556,141.32736111111112,"撮影日時：2026:07:14 10:18:51
撮影順：41"
IMG_2344.JPG,40.31493333333333,141.32742222222222,"撮影日時：2026:07:14 10:18:58
撮影順：42"
IMG_2345.JPG,40.314902777777775,141.32743888888888,"撮影日時：2026:07:14 10:19:02
撮影順：43"
IMG_2346.JPG,40.31471388888889,141.32815555555555,"撮影日時：2026:07:14 10:20:59
撮影順：44"
IMG_2347.JPG,40.314655555555554,141.32826111111112,"撮影日時：2026:07:14 10:21:09
撮影順：45"
IMG_2348.JPG,40.313113888888886,141.32598888888887,"撮影日時：2026:07:14 10:23:18
撮影順：46"
IMG_2349.JPG,40.31299166666666,141.32585277777778,"撮影日時：2026:07:14 10:24:18
撮影順：47"
IMG_2350.JPG,40.31231388888889,141.3278361111111,"撮影日時：2026:07:14 10:26:14
撮影順：48"
IMG_2351.JPG,40.31230833333333,141.32780555555556,"撮影日時：2026:07:14 10:26:33
撮影順：49"
IMG_2352.JPG,40.310741666666665,141.3262472222222,"撮影日時：2026:07:14 10:28:11
撮影順：50"
IMG_2353.JPG,40.31075,141.3262472222222,"撮影日時：2026:07:14 10:28:16
撮影順：51"
IMG_2354.JPG,40.310488888888884,141.326325,"撮影日時：2026:07:14 10:28:35
撮影順：52"
IMG_2355.JPG,40.30396666666666,141.32832222222223,"撮影日時：2026:07:14 10:31:24
撮影順：53"
IMG_2356.JPG,40.29954444444444,141.32605,"撮影日時：2026:07:14 10:34:57
撮影順：54"
IMG_2357.JPG,40.29952222222222,141.32603333333333,"撮影日時：2026:07:14 10:35:01
撮影順：55"
IMG_2358.JPG,40.29944166666667,141.32606388888888,"撮影日時：2026:07:14 10:35:11
撮影順：56"
IMG_2359.JPG,40.29954166666666,141.32603333333333,"撮影日時：2026:07:14 10:35:20
撮影順：57"
IMG_2360.JPG,40.29903888888889,141.32508888888887,"撮影日時：2026:07:14 10:37:02
撮影順：58"
IMG_2361.JPG,40.29902777777777,141.32504166666666,"撮影日時：2026:07:14 10:37:09
撮影順：59"
